PeakID (cmd=annotatePeaks.pl tss mm10 -list 2020-04-06_Neutrophil_Expressed_Genes_from_STAR.txt -size -500,150 -CpG)	Chr	Start	End	Strand	Not Used	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type	CpG%	GC%
NM_019492	chr4	62559347	62559997	+	0	NA	promoter-TSS (NM_019492)	promoter-TSS (NM_019492)	0	NM_019492	50780	Mm.286753	NM_019492	ENSMUSG00000059810	Rgs3	4930506N09Rik|C2PA-RGS3|C2pa|PDZ-RGS3|RGS3S	regulator of G-protein signaling 3	protein-coding	0.018462	0.490015
NM_030074	chr3	95015088	95015738	-	0	NA	promoter-TSS (NM_030074)	promoter-TSS (NM_030074)	0	NM_030074	78266	Mm.389478	NM_030074	ENSMUSG00000019338	Zfp687	4931408L03Rik|Znf687|mKIAA1441	zinc finger protein 687	protein-coding	0.073846	0.668203
NM_134015	chr11	32642055	32642705	+	0	NA	promoter-TSS (NM_001271349)	promoter-TSS (NM_001271349)	0	NM_134015	103583	Mm.28017	NM_134015	ENSMUSG00000020271	Fbxw11	2310065A07Rik|AA536858|BTRC2|BTRCP2|Fbxw1b|HOS	F-box and WD-40 domain protein 11	protein-coding	0.070769	0.591398
NM_001010836	chr7	19360716	19361366	+	0	NA	promoter-TSS (NM_001010836)	promoter-TSS (NM_001010836)	0	NM_001010836	333654	Mm.333640	NM_001010836	ENSMUSG00000040734	Ppp1r13l	AV260376|IASPP|Nkip1|wa3	protein phosphatase 1, regulatory subunit 13 like	protein-coding	0.053846	0.577573
NM_177834	chr1	10719795	10720445	-	0	NA	promoter-TSS (NM_001289497)	promoter-TSS (NM_001289497)	0	NM_177834	329093	Mm.336423	NM_177834	ENSMUSG00000042501	Cpa6	9030616D13Rik	carboxypeptidase A6	protein-coding	0.006154	0.493088
NR_131013	chr6	116207843	116208493	-	0	NA	promoter-TSS (NR_131013)	promoter-TSS (NR_131013)	0	NR_131013	78739	Mm.417032	NR_131013	ENSMUSG00000108030	9530062K07Rik	-	RIKEN cDNA 9530062K07 gene	ncRNA	0.069231	0.628264
NM_011504	chr3	108840352	108841002	-	0	NA	promoter-TSS (NM_011504)	promoter-TSS (NM_011504)	0	NM_011504	20912	Mm.316894	NM_011504	ENSMUSG00000027882	Stxbp3	Munc-18c|Stxbp3a|Sxtbp3|Unc18-3	syntaxin binding protein 3	protein-coding	0.058462	0.551459
NM_175371	chr9	85749184	85749834	-	0	NA	promoter-TSS (NM_001081282)	promoter-TSS (NM_001081282)	0	NM_175371	108837	Mm.22315	NM_175371	ENSMUSG00000035941	Ibtk	5430411K16Rik|AA409502|BTKI|mKIAA1417	inhibitor of Bruton agammaglobulinemia tyrosine kinase	protein-coding	0.061538	0.602151
NM_031878	chr11	106267482	106268132	-	0	NA	promoter-TSS (NM_031878)	promoter-TSS (NM_031878)	0	NM_031878	83796	Mm.21772	NM_031878	ENSMUSG00000078619	Smarcd2	AW322457|Baf60b	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily d, member 2	protein-coding	0.018462	0.562212
NM_010264	chr2	38926311	38926961	-	0	NA	promoter-TSS (NM_010264)	promoter-TSS (NM_010264)	0	NM_010264	14536	Mm.439703	NM_010264	ENSMUSG00000063972	Nr6a1	1700113M01Rik|Gcnf|NCNF|RTR	nuclear receptor subfamily 6, group A, member 1	protein-coding	0.055385	0.540707
NM_134158	chr11	115001730	115002380	-	0	NA	promoter-TSS (NM_134158)	promoter-TSS (NM_134158)	0	NM_134158	140497	Mm.2699	NM_134158	ENSMUSG00000044811	Cd300c2	CLM-4|CLM4|Cd300c|Cd300d|DIgR1|Igsf7|Lmir2|MAIR-II	CD300C molecule 2	protein-coding	0.009231	0.505376
NM_133818	chr1	43098210	43098860	+	0	NA	promoter-TSS (NM_133818)	promoter-TSS (NM_133818)	0	NM_133818	98404	Mm.28817	NM_133818	ENSMUSG00000010290	AI597479	-	expressed sequence AI597479	protein-coding	0.063077	0.588326
NR_045175	chr4	52438814	52439464	-	0	NA	promoter-TSS (NM_001301412)	promoter-TSS (NM_001301412)	0	NR_045175	72648	Mm.391869	NR_045175	ENSMUSG00000085763	Smc2os	2700081L22Rik	structural maintenance of chromosomes 2, opposite strand	ncRNA	0.083077	0.614439
NR_028563	chr11	48801533	48802183	+	0	NA	promoter-TSS (NR_028563)	promoter-TSS (NR_028563)	0	NR_028563	100216534		NR_028563	ENSMUSG00000064725	Snord96a	U96	small nucleolar RNA, C/D box 96A	snoRNA	0.020000	0.471582
NM_001163728	chr11	72214638	72215288	+	0	NA	promoter-TSS (NM_001163728)	promoter-TSS (NM_001163728)	0	NM_001163728	75304	Mm.340776	NM_001163728		4930563E22Rik	-	RIKEN cDNA 4930563E22 gene	protein-coding	0.066154	0.574501
NM_144860	chr18	10725125	10725775	+	0	NA	promoter-TSS (NM_144860)	promoter-TSS (NM_144860)	0	NM_144860	225164	Mm.21500	NM_144860	ENSMUSG00000024294	Mib1	DIP-1|E430019M12Rik|Mib	mindbomb E3 ubiquitin protein ligase 1	protein-coding	0.069231	0.569892
NM_016722	chr8	122611337	122611987	-	0	NA	promoter-TSS (NM_021502)	promoter-TSS (NM_021502)	0	NM_016722	50917	Mm.1786	NM_016722	ENSMUSG00000015027	Galns	mFLJ00319	galactosamine (N-acetyl)-6-sulfate sulfatase	protein-coding	0.072308	0.649770
NM_011132	chr5	110285819	110286469	+	0	NA	promoter-TSS (NM_011132)	promoter-TSS (NM_011132)	0	NM_011132	18973	Mm.35061	NM_011132	ENSMUSG00000007080	Pole	-	polymerase (DNA directed), epsilon	protein-coding	0.100000	0.697389
NM_028499	chr4	14795902	14796552	-	0	NA	promoter-TSS (NM_028499)	promoter-TSS (NM_028499)	0	NM_028499	73314	Mm.52613	NM_028499	ENSMUSG00000023151	Lrrc69	1700034K16Rik	leucine rich repeat containing 69	protein-coding	0.003077	0.413210
NM_001163085	chrX	159987704	159988354	+	0	NA	promoter-TSS (NM_001163085)	promoter-TSS (NM_001163085)	0	NM_001163085	270672	Mm.386889	NM_001163085	ENSMUSG00000031303	Map3k15	BC031147|MEKK15	mitogen-activated protein kinase kinase kinase 15	protein-coding	0.073846	0.611367
NM_033398	chr11	116843299	116843949	-	0	NA	promoter-TSS (NM_001363363)	promoter-TSS (NM_001363363)	0	NM_033398	107817	Mm.481684	NM_033398	ENSMUSG00000056962	Jmjd6	5730436I23Rik|D11Ertd195e|PSR|PtdSerR|Ptdsr|mKIAA0585	jumonji domain containing 6	protein-coding	0.092308	0.668203
NM_022011	chr13	100492459	100493109	-	0	NA	promoter-TSS (NM_001360706)	promoter-TSS (NM_001360706)	0	NM_022011	23894	Mm.272533	NM_022011	ENSMUSG00000021639	Gtf2h2	44kDa|BTF2 p44|BTF2-p44|Btf2p44|p44	general transcription factor II H, polypeptide 2	protein-coding	0.044615	0.534562
NM_175198	chr12	85106281	85106931	-	0	NA	promoter-TSS (NM_175198)	promoter-TSS (NM_175198)	0	NM_175198	73422	Mm.311944	NM_175198	ENSMUSG00000042320	Prox2	1700058C01Rik	prospero homeobox 2	protein-coding	0.023077	0.542243
NM_011604	chr5	64959898	64960548	-	0	NA	promoter-TSS (NM_001359180)	promoter-TSS (NM_001359180)	0	NM_011604	21899	Mm.42146	NM_011604	ENSMUSG00000051498	Tlr6	-	toll-like receptor 6	protein-coding	0.021538	0.373272
NM_001163774	chr7	126884817	126885467	-	0	NA	promoter-TSS (NM_001163775)	promoter-TSS (NM_001163775)	0	NM_001163774	381921	Mm.259634	NM_001163774	ENSMUSG00000059981	Taok2	1110033K02Rik|B230344N16|MAP3K17|PSK|PSK1|TAO1|TAO2|mKIAA0881	TAO kinase 2	protein-coding	0.041538	0.509985
NM_133702	chr11	107189231	107189881	-	0	NA	promoter-TSS (NM_133702)	promoter-TSS (NM_133702)	0	NM_133702	68979	Mm.294617	NM_133702	ENSMUSG00000018433	Nol11	1500002M01Rik|AU015220|AU019874	nucleolar protein 11	protein-coding	0.044615	0.486943
NM_021412	chr10	128790455	128791105	+	0	NA	promoter-TSS (NM_001164197)	promoter-TSS (NM_001164197)	0	NM_021412	58223	Mm.131266	NM_021412	ENSMUSG00000025355	Mmp19	-	matrix metallopeptidase 19	protein-coding	0.007692	0.519201
NM_008229	chr10	36974044	36974694	+	0	NA	promoter-TSS (NM_008229)	promoter-TSS (NM_008229)	0	NM_008229	15182	Mm.19806	NM_008229	ENSMUSG00000019777	Hdac2	D10Wsu179e|YAF1|Yy1bp|mRPD3	histone deacetylase 2	protein-coding	0.110769	0.711214
NM_144520	chr11	4118579	4119229	-	0	NA	promoter-TSS (NM_144520)	promoter-TSS (NM_144520)	0	NM_144520	67815	Mm.253922	NM_144520	ENSMUSG00000003585	Sec14l2	1300013M05Rik|Spf|TAP	SEC14-like lipid binding 2	protein-coding	0.049231	0.594470
NM_025670	chr16	4789791	4790441	-	0	NA	promoter-TSS (NM_025670)	promoter-TSS (NM_025670)	0	NM_025670	66626	Mm.157648	NM_025670	ENSMUSG00000004071	Cdip1	2700048O17Rik|5730403B10Rik|AU018521|AW742692|CDIP	cell death inducing Trp53 target 1	protein-coding	0.078462	0.658986
NM_153799	chr9	57708069	57708719	+	0	NA	promoter-TSS (NM_153799)	promoter-TSS (NM_153799)	0	NM_153799	353190	Mm.268104	NM_153799	ENSMUSG00000038957	Edc3	AA517853|Lsm16|Yjdc	enhancer of mRNA decapping 3	protein-coding	0.035385	0.537634
NM_172291	chr9	35210905	35211555	-	0	NA	promoter-TSS (NM_001359815)	promoter-TSS (NM_001359815)	0	NM_172291	235169	Mm.138512	NM_172291	ENSMUSG00000039048	Foxred1	BC024806|TEG-23|Tex23	FAD-dependent oxidoreductase domain containing 1	protein-coding	0.093846	0.637481
NM_008659	chr11	75651009	75651659	+	0	NA	promoter-TSS (NM_008659)	promoter-TSS (NM_008659)	0	NM_008659	17913	Mm.234502	NM_008659	ENSMUSG00000017774	Myo1c	C80397|MMIb|MYO1E|NMI|mm1beta|myr2	myosin IC	protein-coding	0.056923	0.577573
NR_024017	chr1	37488455	37489105	-	0	NA	promoter-TSS (NR_024017)	promoter-TSS (NR_024017)	0	NR_024017	77633	Mm.483177	NR_024017	ENSMUSG00000103948	4930594C11Rik	-	G1 to S phase transition pseudogene	pseudo	0.035385	0.560676
NM_152808	chr9	21337328	21337978	+	0	NA	promoter-TSS (NM_152808)	promoter-TSS (NM_152808)	0	NM_152808	68682	Mm.148425	NM_152808	ENSMUSG00000057193	Slc44a2	1110028E10Rik|CTL2	solute carrier family 44, member 2	protein-coding	0.029231	0.540707
NM_016980	chr5	107900028	107900678	+	0	NA	promoter-TSS (NM_016980)	promoter-TSS (NM_016980)	0	NM_016980	100503670	Mm.277897	NM_016980	ENSMUSG00000058558	Rpl5	U21RNA	ribosomal protein L5	protein-coding	0.049231	0.519201
NM_010260	chr3	142620163	142620813	+	0	NA	promoter-TSS (NM_010260)	promoter-TSS (NM_010260)	0	NM_010260	14469	Mm.24038	NM_010260	ENSMUSG00000028270	Gbp2	-	guanylate binding protein 2	protein-coding	0.006154	0.433180
NM_019420	chr17	33951338	33951988	-	0	NA	promoter-TSS (NM_019420)	promoter-TSS (NM_019420)	0	NM_019420	54218	Mm.11132	NM_019420	ENSMUSG00000067370	B3galt4	Gal-T2|Galt2	UDP-Gal:betaGlcNAc beta 1,3-galactosyltransferase, polypeptide 4	protein-coding	0.047692	0.579109
NM_023146	chr11	33513603	33514253	-	0	NA	promoter-TSS (NR_110973)	promoter-TSS (NR_110973)	0	NM_023146	66011	Mm.383775	NM_023146	ENSMUSG00000040594	Ranbp17	-	RAN binding protein 17	protein-coding	0.073846	0.603687
NM_012003	chr6	124965388	124966038	-	0	NA	promoter-TSS (NM_001164089)	promoter-TSS (NM_001164089)	0	NM_012003	26894	Mm.244536	NM_012003	ENSMUSG00000030127	Cops7a	D6Ertd35e|SGN7a	COP9 signalosome subunit 7A	protein-coding	0.084615	0.619048
NM_145940	chr11	109611239	109611889	-	0	NA	promoter-TSS (NM_145940)	promoter-TSS (NM_145940)	0	NM_145940	52639	Mm.35817	NM_145940	ENSMUSG00000041895	Wipi1	4930533H01Rik|AW411817|D11Ertd498e	WD repeat domain, phosphoinositide interacting 1	protein-coding	0.069231	0.660522
NM_010655	chr11	106999375	107000025	-	0	NA	promoter-TSS (NM_010655)	promoter-TSS (NM_010655)	0	NM_010655	16647	Mm.12508	NM_010655	ENSMUSG00000018362	Kpna2	2410044B12Rik|IPOA1|PTAC58|Rch1	karyopherin (importin) alpha 2	protein-coding	0.052308	0.505376
NM_027186	chr11	70969699	70970349	+	0	NA	promoter-TSS (NR_156443)	promoter-TSS (NR_156443)	0	NM_027186	69723	Mm.275691	NM_027186	ENSMUSG00000018449	Rpain	2400006N03Rik|Rip	RPA interacting protein	protein-coding	0.064615	0.589862
NM_178252	chr7	30534910	30535560	-	0	NA	promoter-TSS (NM_001289682)	promoter-TSS (NM_001289682)	0	NM_178252	233071	Mm.190704	NM_178252	ENSMUSG00000036882	Arhgap33	AW324378|NOMA-GAP|Snx26|TCGAP	Rho GTPase activating protein 33	protein-coding	0.083077	0.660522
NM_053167	chr12	70347464	70348114	-	0	NA	promoter-TSS (NM_001286388)	promoter-TSS (NM_001286388)	0	NM_053167	94090	Mm.184012	NM_053167	ENSMUSG00000021071	Trim9	-	tripartite motif-containing 9	protein-coding	0.047692	0.615975
NM_008209	chr1	155146664	155147314	-	0	NA	promoter-TSS (NM_008209)	promoter-TSS (NM_008209)	0	NM_008209	15064	Mm.7580	NM_008209	ENSMUSG00000026471	Mr1	H2ls	major histocompatibility complex, class I-related	protein-coding	0.007692	0.402458
NM_027159	chr1	34439522	34440172	-	0	NA	promoter-TSS (NM_027159)	promoter-TSS (NM_027159)	0	NM_027159	69668	Mm.379170	NM_027159	ENSMUSG00000042111	Ccdc115	2310061I09Rik|Ccp1	coiled-coil domain containing 115	protein-coding	0.067692	0.569892
NM_177005	chr5	127631762	127632412	+	0	NA	promoter-TSS (NM_177005)	promoter-TSS (NM_177005)	0	NM_177005	319804	Mm.237888	NM_177005	ENSMUSG00000049971	Glt1d1	5730455A04Rik	glycosyltransferase 1 domain containing 1	protein-coding	0.041538	0.625192
NM_011029	chr9	120127266	120127916	+	0	NA	promoter-TSS (NM_011029)	promoter-TSS (NM_011029)	0	NM_011029	16785	Mm.4071	NM_011029	ENSMUSG00000032518	Rpsa	67kDa|67lr|AL022858|Lamr|Lamr1|Lamrl1|MLR|P40|P40-3|P40-8	ribosomal protein SA	protein-coding	0.076923	0.579109
NM_145380	chr2	105016877	105017527	-	0	NA	promoter-TSS (NM_145380)	promoter-TSS (NM_145380)	0	NM_145380	98221	Mm.379278	NM_145380	ENSMUSG00000027170	Eif3m	Ga17|Pcid1|Tango7	eukaryotic translation initiation factor 3, subunit M	protein-coding	0.052308	0.586790
NM_153532	chrX	48592408	48593058	-	0	NA	promoter-TSS (NM_001166650)	promoter-TSS (NM_001166650)	0	NM_153532	208968	Mm.293819	NM_153532	ENSMUSG00000036916	Zfp280c	BC028839|Suhw3|Zfp633|Znf280c|mKIAA1584	zinc finger protein 280C	protein-coding	0.012308	0.453149
NM_001163501	chr12	84218731	84219381	-	0	NA	promoter-TSS (NM_001163501)	promoter-TSS (NM_001163501)	0	NM_001163501	238317	Mm.31256	NM_001163501	ENSMUSG00000042507	Elmsan1	9430029N19Rik|C130039O16Rik|Gm260	ELM2 and Myb/SANT-like domain containing 1	protein-coding	0.083077	0.631336
NR_040417	chr15	89075704	89076354	-	0	NA	promoter-TSS (NM_026485)	promoter-TSS (NM_026485)	0	NR_040417	69120	Mm.276391	NR_040417	ENSMUSG00000087331	1810021B22Rik	-	RIKEN cDNA 1810021B22 gene	ncRNA	0.120000	0.738863
NM_025994	chr4	141874770	141875420	-	0	NA	promoter-TSS (NM_025994)	promoter-TSS (NM_025994)	0	NM_025994	27984	Mm.395598	NM_025994	ENSMUSG00000040659	Efhd2	2600015J22Rik|AA408606|D4Wsu27e	EF hand domain containing 2	protein-coding	0.072308	0.669739
NM_026412	chr2	118813503	118814153	+	0	NA	promoter-TSS (NM_026412)	promoter-TSS (NM_026412)	0	NM_026412	51944	Mm.252695	NM_026412	ENSMUSG00000027331	Knstrn	1700025D04Rik|C15orf23|D2Ertd750e|SKAP|Traf4af1	kinetochore-localized astrin/SPAG5 binding	protein-coding	0.021538	0.474654
NM_172379	chr14	20347662	20348312	+	0	NA	promoter-TSS (NM_001177633)	promoter-TSS (NM_001177633)	0	NM_172379	105428	Mm.206990	NM_172379	ENSMUSG00000039599	Fam149b	AA536717|AI428773|Fam149b1|mKIAA0974	family with sequence similarity 149, member B	protein-coding	0.061538	0.586790
NM_026632	chr6	8258991	8259641	-	0	NA	promoter-TSS (NM_001302354)	promoter-TSS (NM_001302354)	0	NM_026632	68240	Mm.29073	NM_026632	ENSMUSG00000012483	Rpa3	14kDa|C330026P08Rik	replication protein A3	protein-coding	0.098462	0.649770
NM_175529	chr7	4149722	4150372	-	0	NA	promoter-TSS (NM_175529)	promoter-TSS (NM_175529)	0	NM_175529	243813	Mm.347643	NM_175529	ENSMUSG00000043432	Leng9	9530024C23Rik|F630035L11Rik	leukocyte receptor cluster (LRC) member 9	protein-coding	0.038462	0.545315
NM_009224	chr7	45395592	45396242	-	0	NA	promoter-TSS (NM_009224)	promoter-TSS (NM_009224)	0	NM_009224	20637	Mm.216386	NM_009224	ENSMUSG00000063511	Snrnp70	2700022N21Rik|3200002N22Rik|AI325098|R74807|Rnu1p70|Rnulp70|Snrp70|Srnp70|U1-70|U1-70K	small nuclear ribonucleoprotein 70 (U1)	protein-coding	0.084615	0.585253
NM_010549	chr4	41761810	41762460	+	0	NA	promoter-TSS (NM_010549)	promoter-TSS (NM_010549)	0	NM_010549	16157	Mm.193451	NM_010549	ENSMUSG00000073889	Il11ra1	AI314697|GP130|Il-11ra|Il11ra|Il11ra2|NR1	interleukin 11 receptor, alpha chain 1	protein-coding	0.006154	0.533026
NR_131918	chr4	149334139	149334789	+	0	NA	promoter-TSS (NR_131918)	promoter-TSS (NR_131918)	0	NR_131918	74310	Mm.440455	NR_131918	ENSMUSG00000085286	Ube4bos3	1700121F15Rik	ubiquitination factor E4B, opposite strand 3	ncRNA	0.010769	0.493088
NR_105978	chr3	88440801	88441451	-	0	NA	promoter-TSS (NR_105978)	promoter-TSS (NR_105978)	0	NR_105978	102465611		NR_105978	ENSMUSG00000098655	Mir7011	Gm27677|mmu-mir-7011	microRNA 7011	ncRNA	0.032308	0.556068
NR_033780	chr11	64078984	64079634	+	0	NA	promoter-TSS (NR_033780)	promoter-TSS (NR_033780)	0	NR_033780	66456	Mm.124828	NR_033780	ENSMUSG00000087497	2810001G20Rik	AW045514	RIKEN cDNA 2810001G20 gene	ncRNA	0.056923	0.599078
NM_008982	chr2	90580497	90581147	-	0	NA	promoter-TSS (NM_008982)	promoter-TSS (NM_008982)	0	NM_008982	19271	Mm.330393	NM_008982	ENSMUSG00000025314	Ptprj	AI450271|BET|Byp|CD148|DEP-1|PTPbeta2|Ptpb2|RPTPJ|Scc-1|Scc1	protein tyrosine phosphatase, receptor type, J	protein-coding	0.092308	0.708141
NM_009132	chr12	40134078	40134728	-	0	NA	promoter-TSS (NM_001146196)	promoter-TSS (NM_001146196)	0	NM_009132	20259	Mm.2416	NM_009132	ENSMUSG00000002565	Scin	AW545522|adseverin	scinderin	protein-coding	0.052308	0.519201
NM_001024919	chr11	31671712	31672362	-	0	NA	promoter-TSS (NM_001024919)	promoter-TSS (NM_001024919)	0	NM_001024919	69556	Mm.34183	NM_001024919	ENSMUSG00000044502	Bod1	2310022M17Rik|BOD2.1|Fam44b	biorientation of chromosomes in cell division 1	protein-coding	0.075385	0.583717
NM_028364	chr15	76080796	76081446	-	0	NA	promoter-TSS (NM_001356629)	promoter-TSS (NM_001356629)	0	NM_028364	67959	Mm.29965	NM_028364	ENSMUSG00000002524	Puf60	2410104I19Rik|2810454F19Rik|SIAHBP1	poly-U binding splicing factor 60	protein-coding	0.083077	0.574501
NM_172800	chr11	114066879	114067529	-	0	NA	promoter-TSS (NM_172800)	promoter-TSS (NM_172800)	0	NM_172800	237979	Mm.130504	NM_172800	ENSMUSG00000041592	Sdk2	4632412F08Rik|5330435L01Rik|Sdk-2|mKIAA1514	sidekick cell adhesion molecule 2	protein-coding	0.087692	0.689708
NM_030172	chr12	99883292	99883942	-	0	NA	promoter-TSS (NM_030172)	promoter-TSS (NM_030172)	0	NM_030172	78767	Mm.235920	NM_030172	ENSMUSG00000021176	Efcab11	2610021K21Rik|2610110A13Rik	EF-hand calcium binding domain 11	protein-coding	0.055385	0.513057
NM_009715	chr2	73892489	73893139	-	0	NA	promoter-TSS (NM_009715)	promoter-TSS (NM_009715)	0	NM_009715	11909	Mm.209903	NM_009715	ENSMUSG00000027104	Atf2	Atf-2|CRE-BP|Creb2|D130078H02Rik|D18875|Tg(Gzma-Klra1)7Wum|mXBP	activating transcription factor 2	protein-coding	0.087692	0.639017
NR_028442	chr15	98566824	98567474	+	0	NA	promoter-TSS (NR_028442)	promoter-TSS (NR_028442)	0	NR_028442	100048895	Mm.471074	NR_028442		9330020H09Rik	-	RIKEN cDNA 9330020H09 gene	ncRNA	0.060000	0.536098
NM_033577	chr18	37730471	37731121	+	0	NA	promoter-TSS (NM_033577)	promoter-TSS (NM_033577)	0	NM_033577	93702	Mm.247203	NM_033577	ENSMUSG00000103749	Pcdhgb5	-	protocadherin gamma subfamily B, 5	protein-coding	0.035385	0.399386
NM_198326	chr2	151493682	151494332	+	0	NA	promoter-TSS (NM_001291074)	promoter-TSS (NM_001291074)	0	NM_198326	386649	Mm.419479	NM_198326	ENSMUSG00000027455	Nsfl1c	Munc-18c|Stxbp3a|p47	NSFL1 (p97) cofactor (p47)	protein-coding	0.046154	0.528418
NM_028356	chr12	76369410	76370060	-	0	NA	promoter-TSS (NM_028356)	promoter-TSS (NM_028356)	0	NM_028356	109929	Mm.41880	NM_028356	ENSMUSG00000056459	Zbtb25	2810462M08Rik|2900064P18Rik|AI842128|Kup|Zfp-50|Zfp50	zinc finger and BTB domain containing 25	protein-coding	0.126154	0.726575
NM_008036	chr7	19309895	19310545	-	0	NA	promoter-TSS (NM_001347586)	promoter-TSS (NM_001347586)	0	NM_008036	14282	Mm.248335	NM_008036	ENSMUSG00000003545	Fosb	-	FBJ osteosarcoma oncogene B	protein-coding	0.070769	0.596006
NM_175251	chr15	96287022	96287672	+	0	NA	promoter-TSS (NM_175251)	promoter-TSS (NM_175251)	0	NM_175251	77044	Mm.17166	NM_175251	ENSMUSG00000033237	Arid2	1700124K17Rik|4432409D24Rik|BAF200|zipzap/p200	AT rich interactive domain 2 (ARID, RFX-like)	protein-coding	0.146154	0.781874
NM_139139	chr2	119208645	119209295	-	0	NA	promoter-TSS (NM_139139)	promoter-TSS (NM_139139)	0	NM_139139	69408	Mm.222241	NM_139139	ENSMUSG00000034278	Dnajc17	1700025B16Rik|C87112|D9Bwg1371e	DnaJ heat shock protein family (Hsp40) member C17	protein-coding	0.066154	0.586790
NM_178605	chr13	54589924	54590574	-	0	NA	promoter-TSS (NM_025933)	promoter-TSS (NM_025933)	0	NM_178605	28126	Mm.439993	NM_178605	ENSMUSG00000025869	Nop16	AA409471|D13Wsu177e	NOP16 nucleolar protein	protein-coding	0.053846	0.548387
NM_010914	chr10	82763991	82764641	-	0	NA	promoter-TSS (NM_010914)	promoter-TSS (NM_010914)	0	NM_010914	18045	Mm.245998	NM_010914	ENSMUSG00000020248	Nfyb	AA985999|Cbf-A	nuclear transcription factor-Y beta	protein-coding	0.069231	0.614439
NM_025680	chr2	157736901	157737551	+	0	NA	promoter-TSS (NM_025680)	promoter-TSS (NM_025680)	0	NM_025680	66642	Mm.45193	NM_025680	ENSMUSG00000027649	Ctnnbl1	5730471K09Rik|NAP|NYD-SP19|P14L	catenin, beta like 1	protein-coding	0.047692	0.540707
NM_011065	chr11	69098449	69099099	+	0	NA	promoter-TSS (NM_011065)	promoter-TSS (NM_011065)	0	NM_011065	18626	Mm.7373	NM_011065	ENSMUSG00000020893	Per1	Hftm|Per|m-rigui|mPer1	period circadian clock 1	protein-coding	0.035385	0.577573
